site_no,site_export_id,location_type,huc2,huc2_region_name,station_nm,dec_lat_va,dec_long_va,median_00060_Mean,n_flow_obs,median_no3no2,n_combined_days,mutual_information,n_paired_days
1408500,1,Mid Atlantic,02,Mid Atlantic Region,Toms River near Toms River NJ,39.98638889,-74.2233333,170.0,6629,0.62,670,0.8809995052427788,670.0
1463500,2,Mid Atlantic,02,Mid Atlantic Region,Delaware River at Trenton NJ,40.22166667,-74.77805556,9760.0,6599,0.9,669,0.3817327032703419,669.0
1491000,3,Mid Atlantic,02,Mid Atlantic Region,"CHOPTANK RIVER NEAR GREENSBORO, MD",38.99719444,-75.7858056,95.1,6630,1.46,931,0.2558446975870168,929.0
1493112,4,Mid Atlantic,02,Mid Atlantic Region,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",39.25705556,-75.94013889,6.54,5211,8.455,1898,0.38843609381526933,1898.0
1573208,5,Mid Atlantic,02,Mid Atlantic Region,"Swatara Creek near Palmyra, PA",40.32223889,-76.6293944,353.0,1136,3.1,993,0.13899576997503527,952.0
1575900,6,Mid Atlantic,02,Mid Atlantic Region,"Chiques Creek near Marietta, PA",40.0628745,-76.5155214,70.5,1883,6.75,1662,0.23125372235402075,1634.0
1640152,7,Mid Atlantic,02,Mid Atlantic Region,"SAMS CREEK AT MCKINSTRYS MILL, MD",39.53308056,-77.15888889,4.445,454,3.09,453,0.10770811291147941,441.0
1646500,8,Mid Atlantic,02,Mid Atlantic Region,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",38.94977778,-77.12763889,6850.0,6632,1.06,4674,0.3846675217320721,4674.0
2235500,9,Florida,03,South Atlantic-Gulf Region,"BLUE SPRINGS NEAR ORANGE CITY, FL",28.944154,-81.3397866,145.0,6522,0.87,1672,0.6094315944512005,1672.0
2239501,10,Florida,03,South Atlantic-Gulf Region,"SILVER RIVER NEAR OCALA, FL",29.2149764,-82.0412,600.0,6632,1.18,1723,0.6521282389898158,1723.0
2248350,11,Florida,03,South Atlantic-Gulf Region,"TURNBULL CREEK NR OAK HILL, FL",28.82106816,-80.8597897,2.855,1420,0.26,131,0.184039793915602,121.0
2248380,12,Florida,03,South Atlantic-Gulf Region,"HAULOVER CANAL NEAR MIMS,FL",28.73638079,-80.754773,117.0,6385,0.04,427,0.0,385.0
