site_no,station_nm,dec_lat_va,dec_long_va,median_do_mg_l,n_do_days
1408500,Toms River near Toms River NJ,39.98638889,-74.2233333,9.3,970
1463500,Delaware River at Trenton NJ,40.22166667,-74.77805556,10.7,6371
1491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",38.99719444,-75.7858056,8.2,1038
1493112,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",39.257056,-75.940139,9.1,2568
1573208,"Swatara Creek near Palmyra, PA",40.32223889,-76.6293944,10.4,1082
1575900,"Chiques Creek near Marietta, PA",40.0628745,-76.5155214,10.1,1810
1640152,"SAMS CREEK AT MCKINSTRYS MILL, MD",39.53308056,-77.15888889,10.75,458
1646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",38.94977778,-77.12763889,10.6,1754
2235500,"BLUE SPRINGS NEAR ORANGE CITY, FL",28.944154,-81.3397866,1.0,1854
2239501,"SILVER RIVER NEAR OCALA, FL",29.2149764,-82.0412,4.3,1966
2292900,"CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA",26.72173357,-81.69318057,6.3,2358
2315626,"ALAPAHA RISE ABOVE SW 68TH DRIVE NEAR JASPER, FL",30.43944444,-83.0892778,0.3,351
2319302,"MADISON BLUE SPRING NR BLUE SPRINGS, FL",30.48049106,-83.2443097,2.0,3628
2319950,"BLUE SPRINGS NEAR DELL,FL",30.12572778,-83.2271694,0.9,3666
2322688,"BLUE HOLE SPRING NR HILDRETH, FL",29.9799552,-82.758457,2.1,2431
2322700,"ICHETUCKNEE R @ HWY27 NR HILDRETH, FL",29.95273288,-82.7859573,5.1,1446
2323502,FANNING SPRINGS NR WILCOX FLA,29.5891247,-82.9331797,2.5,4043
2323566,MANATEE SPRING NR CHIEFLAND FLA,29.4896808,-82.976791,1.2,4062
2326526,WACISSA RIVER NR WACISSA FLA,30.3013159,-83.9796085,6.8,3456
2358795,"JACKSON BLUE SPRING NR MARIANNA, FL",30.79046943,-85.1407611,7.0,2826
3230427,Clover Groff Ditch below Alton OH,39.94444444,-83.1761111,9.0,953
3275500,"EAST FORK WHITEWATER RIVER AT RICHMOND, IN",39.806701,-84.9071494,10.3,2944
3276000,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",39.43392795,-85.003264,11.2,392
3290500,"KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY",38.43894162,-84.96326372,9.5,2513
3339000,"VERMILION RIVER NEAR DANVILLE, IL",40.1010833,-87.5976111,10.1,1691
3340900,"BIG RACCOON CREEK AT FERNDALE, IN",39.71116667,-87.0712778,10.45,406
3346500,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",38.72380556,-87.6643611,9.0,2093
3353200,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249,10.3,5485
3353415,"SCHOOL BRANCH AT MALONEY ROAD NEAR BROWNSBURG, IN",39.88577778,-86.3554444,8.75,2782
3353420,"SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN",39.8725833,-86.3615278,8.2,1479
3374100,"WHITE RIVER AT HAZLETON, IN",38.4897748,-87.5500132,10.3,5105
3378500,"WABASH RIVER AT NEW HARMONY, IN",38.13089124,-87.9414145,10.3,2353
3612600,"OHIO RIVER AT OLMSTED, IL",37.17921867,-89.058404,8.9,3043
4085108,"EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI",44.37194444,-88.0922222,8.149999999999999,688
4144032,"THREEMILE CREEK AT PRIOR ROAD NEAR DURAND, MI",42.88169789,-83.9846833,10.2,1364
4183038,"BLACK CREEK NEAR HARLAN, IN",41.1830833,-84.8696944,9.6,1108
4183500,Maumee River at Antwerp OH,41.19893889,-84.7444033,10.3,2487
4188496,Eagle Creek above Findlay OH,40.9792203,-83.6532653,7.4,3334
5418400,"North Fork Maquoketa River near Fulton, IA",42.1643333,-90.7293333,8.6,86
5420500,"Mississippi River at Clinton, IA",41.78058635,-90.252073,10.6,2163
5446500,"ROCK RIVER NEAR JOSLIN, IL",41.5561111,-90.1852778,10.5,1107
5447500,"GREEN RIVER NEAR GENESEO, IL",41.4889333,-90.1580083,9.2,1425
5451210,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944,9.0,612
5464420,"Cedar River at Blairs Ferry Road at Palo, IA",42.06916389,-91.7851806,11.6,1734
5474500,"Mississippi River at Keokuk, IA",40.39365535,-91.374318,9.1,1587
5515500,"KANKAKEE RIVER AT DAVIS, IN",41.38963889,-86.7061667,9.2,4344
5517500,"KANKAKEE RIVER AT DUNNS BRIDGE, IN",41.22001988,-86.96832769,9.3,3367
5518000,"KANKAKEE RIVER AT SHELBY, IN",41.1828134,-87.3403096,9.2,3524
5524500,"IROQUOIS RIVER NEAR FORESMAN, IN",40.8705788,-87.3066723,9.2,3656
5536356,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",41.6186111,-87.4998333,9.3,1481
5537980,"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL",41.5364722,-88.0836944,9.1,2917
5567500,"MACKINAW RIVER NEAR CONGERVILLE, IL",40.6235,-89.2416667,8.4,877
5576195,"SUGAR CREEK NEAR CHATHAM, IL",39.659075,-89.6589361,5.5,1132
5579630,"KICKAPOO CREEK NEAR BLOOMINGTON, IL",40.4583333,-88.8775,8.3,1452
5595000,"KASKASKIA RIVER AT NEW ATHENS, IL",38.3197222,-89.8883333,8.5,2137
5599490,"BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",37.7583333,-89.3277778,7.3,2429
6481000,"BIG SIOUX RIVER NEAR DELL RAPIDS, SD",43.790472,-96.745333,9.9,648
6796500,"Platte River near Leshara, Nebr.",41.32,-96.403889,9.2,1952
6800500,"Elkhorn River at Waterloo, Nebr.",41.293333,-96.283889,9.5,3672
6801000,"Platte River near Ashland, Nebr.",41.062256,-96.324514,10.3,1029
6805500,"Platte River at Louisville, Nebr.",41.014978,-96.1575,9.2,3611
6818000,"Missouri River at St. Joseph, MO",39.75325,-94.8568333,8.8,5594
6819550,"Mozingo Creek near Pickering, MO",40.4311111,-94.7722222,7.9,600
6887000,"BIG BLUE R NR MANHATTAN, KS",39.2372186,-96.5713918,10.0,1621
6887500,"KANSAS R AT WAMEGO, KS",39.19833014,-96.3055532,10.2,3703
6889110,"SOLDIER CREEK NR CORNING, KS",39.6095472,-95.9760556,8.2,1363
6894650,"Missouri River at Napoleon, MO",39.1336111,-94.0638889,8.4,953
6899900,"Medicine Creek at Lucerne, MO",40.45444444,-93.2863889,8.2,775
6900050,"Medicine Creek near Laredo, MO",40.0266111,-93.4362222,8.3,796
6901500,"Locust Creek near Linneus, MO",39.89594444,-93.2365278,8.3,781
6934500,"Missouri River at Hermann, MO",38.70980556,-91.4385,8.4,5399
7055814,"Big Creek at Carver, AR",35.97896536,-93.0435069,9.6,1032
7056515,"Bear Creek near Silver Hill, AR",35.94,-92.7133333,7.9,489
7374000,"Mississippi River at Baton Rouge, LA",30.44566667,-91.1915556,8.0,5882
8155500,"Barton Spgs at Austin, TX",30.26354169,-97.7713947,5.7,6477
