site_no,mutual_information,n_paired_days,station_nm,dec_lat_va,dec_long_va
1408500,0.18859973354605097,662,Toms River near Toms River NJ,39.98638889,-74.2233333
1463500,0.35514872309653134,668,Delaware River at Trenton NJ,40.22166667,-74.77805556
1491000,0.3463662932890954,926,"CHOPTANK RIVER NEAR GREENSBORO, MD",38.99719444,-75.7858056
1493112,0.3101484765321283,1888,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",39.25705556,-75.94013889
1573208,0.21413045321790403,950,"Swatara Creek near Palmyra, PA",40.32223889,-76.6293944
1575900,0.1706413905423183,1632,"Chiques Creek near Marietta, PA",40.0628745,-76.5155214
1640152,0.27306535857606784,437,"SAMS CREEK AT MCKINSTRYS MILL, MD",39.53308056,-77.15888889
1646500,0.39190081930744824,1642,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",38.94977778,-77.12763889
2235500,0.4890126147935634,1629,"BLUE SPRINGS NEAR ORANGE CITY, FL",28.944154,-81.3397866
2239501,0.10156141367599325,1720,"SILVER RIVER NEAR OCALA, FL",29.2149764,-82.0412
2292900,0.4043147628731889,2325,"CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA",26.72173357,-81.69318057
2315626,0.5607173424804488,348,"ALAPAHA RISE ABOVE SW 68TH DRIVE NEAR JASPER, FL",30.43944444,-83.0892778
2319302,0.5155792265540198,2275,"MADISON BLUE SPRING NR BLUE SPRINGS, FL",30.48049106,-83.2443097
2319950,0.5679873317793689,1948,"BLUE SPRINGS NEAR DELL,FL",30.12572778,-83.2271694
2322688,0.4083866738769686,2045,"BLUE HOLE SPRING NR HILDRETH, FL",29.9799552,-82.758457
2322700,0.30594611992317367,1115,"ICHETUCKNEE R @ HWY27 NR HILDRETH, FL",29.95273288,-82.7859573
2323502,0.408342905115461,2790,FANNING SPRINGS NR WILCOX FLA,29.5891247,-82.9331797
2323566,0.4938161031911781,3421,MANATEE SPRING NR CHIEFLAND FLA,29.4896808,-82.976791
2326526,0.10462311796895829,2633,WACISSA RIVER NR WACISSA FLA,30.3013159,-83.9796085
3230427,0.08343031450580485,802,Clover Groff Ditch below Alton OH,39.94444444,-83.1761111
3275500,0.19633736668646673,2485,"EAST FORK WHITEWATER RIVER AT RICHMOND, IN",39.806701,-84.9071494
3276000,1.2346826259452426,376,"EAST FORK WHITEWATER RIVER AT BROOKVILLE, IN",39.43392795,-85.003264
3290500,0.3419459035502461,1254,"KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY",38.43894162,-84.96326372
3339000,0.28100629272119715,1644,"VERMILION RIVER NEAR DANVILLE, IL",40.1010833,-87.5976111
3340900,1.1448449435275245,381,"BIG RACCOON CREEK AT FERNDALE, IN",39.71116667,-87.0712778
3346500,0.23694900137092034,1685,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",38.72380556,-87.6643611
3353200,0.1115021692408602,4506,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249
3353415,0.3740160198312412,2446,"SCHOOL BRANCH AT MALONEY ROAD NEAR BROWNSBURG, IN",39.88577778,-86.3554444
3353420,0.44108935580843145,1323,"SCHOOL BRANCH AT CR750N AT BROWNSBURG, IN",39.8725833,-86.3615278
3374100,0.1634461406552452,1523,"WHITE RIVER AT HAZLETON, IN",38.4897748,-87.5500132
3378500,0.208328921623798,1572,"WABASH RIVER AT NEW HARMONY, IN",38.13089124,-87.9414145
3612600,0.34869570799581595,1732,"OHIO RIVER AT OLMSTED, IL",37.17921867,-89.058404
4085108,0.5165075214517882,688,"EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI",44.37194444,-88.0922222
4183038,0.46134578060536846,1108,"BLACK CREEK NEAR HARLAN, IN",41.1830833,-84.8696944
4183500,0.1738252053651701,2030,Maumee River at Antwerp OH,41.19893889,-84.7444033
4188496,0.3091289221565061,2690,Eagle Creek above Findlay OH,40.9792203,-83.6532653
5418400,0.14571841523575957,83,"North Fork Maquoketa River near Fulton, IA",42.1643333,-90.7293333
5420500,0.3032545320404525,1727,"Mississippi River at Clinton, IA",41.78058635,-90.252073
5446500,0.21649780654876283,1073,"ROCK RIVER NEAR JOSLIN, IL",41.5561111,-90.1852778
5447500,0.192922794611174,1338,"GREEN RIVER NEAR GENESEO, IL",41.4889333,-90.1580083
5451210,0.43973048718888963,339,"South Fork Iowa River NE of New Providence, IA",42.31530556,-93.1521944
5464420,0.3151112720874316,1626,"Cedar River at Blairs Ferry Road at Palo, IA",42.06916389,-91.7851806
5474500,0.7685545408425529,849,"Mississippi River at Keokuk, IA",40.39365535,-91.374318
5515500,0.19306845054725663,4148,"KANKAKEE RIVER AT DAVIS, IN",41.38963889,-86.7061667
5517500,0.10228773789666157,2737,"KANKAKEE RIVER AT DUNNS BRIDGE, IN",41.22001988,-86.96832769
5518000,0.15088321573493335,3405,"KANKAKEE RIVER AT SHELBY, IN",41.1828134,-87.3403096
5524500,0.15372154271521055,3515,"IROQUOIS RIVER NEAR FORESMAN, IN",40.8705788,-87.3066723
5536356,0.09414611876120027,1390,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",41.6186111,-87.4998333
5537980,0.10321669893300545,2909,"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL",41.5364722,-88.0836944
5567500,0.34923514201269557,790,"MACKINAW RIVER NEAR CONGERVILLE, IL",40.6235,-89.2416667
5576195,0.657657509272501,918,"SUGAR CREEK NEAR CHATHAM, IL",39.659075,-89.6589361
5579630,0.31499181101895646,1020,"KICKAPOO CREEK NEAR BLOOMINGTON, IL",40.4583333,-88.8775
5595000,0.13059119954479392,2052,"KASKASKIA RIVER AT NEW ATHENS, IL",38.3197222,-89.8883333
5599490,0.18631137040394918,2152,"BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",37.7583333,-89.3277778
6796500,0.14211378962955523,1720,"Platte River near Leshara, Nebr.",41.32,-96.4038889
6800500,0.18660175466885187,1764,"Elkhorn River at Waterloo, Nebr.",41.2933333,-96.2838889
6801000,0.25420351358746585,924,"Platte River near Ashland, Nebr.",41.06225556,-96.32451389
6805500,0.11875778779690727,2377,"Platte River at Louisville, Nebr.",41.01497778,-96.1575
6818000,0.42235371276213707,1399,"Missouri River at St. Joseph, MO",39.75325,-94.8568333
6819550,0.2546469234704971,534,"Mozingo Creek near Pickering, MO",40.4311111,-94.7722222
6887000,1.0444215238759615,136,"BIG BLUE R NR MANHATTAN, KS",39.2372186,-96.5713918
6887500,0.6997476665049791,156,"KANSAS R AT WAMEGO, KS",39.19833014,-96.3055532
6889110,0.28936468059134857,995,"SOLDIER CREEK NR CORNING, KS",39.6095472,-95.9760556
6894650,0.5087072433049316,835,"Missouri River at Napoleon, MO",39.1336111,-94.0638889
6899900,0.07816043969444175,578,"Medicine Creek at Lucerne, MO",40.45444444,-93.2863889
6900050,0.13409670085878922,588,"Medicine Creek near Laredo, MO",40.0266111,-93.4362222
6901500,0.07604538519824366,642,"Locust Creek near Linneus, MO",39.89594444,-93.2365278
6934500,0.23611772697058253,3060,"Missouri River at Hermann, MO",38.70980556,-91.4385
7055814,0.3258433744591127,71,"Big Creek at Carver, AR",35.97896536,-93.0435069
7056515,0.7681522473338211,469,"Bear Creek near Silver Hill, AR",35.94,-92.7133333
7374000,0.34709494271635233,4395,"Mississippi River at Baton Rouge, LA",30.44566667,-91.1915556
8155500,0.6109611640915862,1244,"Barton Spgs at Austin, TX",30.26354169,-97.7713947
